customer_key,customer_segment,primary_market,primary_country,first_order_date,last_order_date,order_frequency,total_lines,total_quantity,lifetime_revenue,lifetime_cost,lifetime_profit,lifetime_discount,lifetime_shipping,returned_orders,measured_orders,clv_historical_revenue,clv_historical_profit,avg_order_value,avg_order_profit,profit_margin_pct,days_since_last_purchase,tenure_days_observed,is_repeat_customer,return_rate_pct,avg_days_between_orders,cohort_month,r_score,f_score,m_score,rfm_cell,rfm_sum,fm_score,days_since_first_purchase,segment,segment_action,label_caveat
ALAN_DOMINGUEZ,Home Office,APAC,United States,2011-08-16,2014-12-26,30,55,167,18539.7928,16999.8006,1539.9922,5275.5572,1593.206,0,27,18539.7928,1539.9922,617.9930933333333,51.33307333333334,8.30641537698307,5,1228,1,0.0,42.3448275862069,2011-08,5,2,4,524,11,3.0,1233,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.
ALAN_HAINES,Corporate,EU,Italy,2011-01-17,2014-11-12,34,77,258,15279.75678,15872.0029,-592.2461199999998,5091.56322,1466.849,1,25,15279.75678,-592.2461199999998,449.40461117647055,-17.419003529411757,-3.876017979390898,49,1395,1,4.0,42.27272727272727,2011-01,1,3,3,133,7,3.0,1444,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile."
ALAN_HWANG,Consumer,LATAM,United States,2011-08-13,2014-12-25,38,74,292,23642.85018,19300.4794,4342.37078,2898.9098200000003,2365.203,0,34,23642.85018,4342.37078,622.1802678947369,114.2729152631579,18.366528345526238,6,1230,1,0.0,33.24324324324324,2011-08,4,5,5,455,14,5.0,1236,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.
ALAN_SCHOENBERGER,Corporate,APAC,United States,2011-05-18,2014-12-29,35,73,231,21836.4137,19332.7789,2503.6348,1614.7863000000002,1945.791,2,28,21836.4137,2503.6348,623.8975342857143,71.53242285714285,11.465412014977533,2,1321,1,7.142857142857142,38.85294117647059,2011-05,5,4,5,545,14,4.5,1323,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.
ALAN_SHONELY,Consumer,EU,United States,2011-01-26,2014-12-19,36,63,246,10693.17636,9517.7222,1175.45416,2191.66364,1026.991,1,31,10693.17636,1175.45416,297.03267666666665,32.65150444444444,10.992563111528067,12,1423,1,3.225806451612903,40.65714285714286,2011-01,4,4,1,441,9,2.5,1435,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ALEJANDRO_BALLENTINE,Home Office,LATAM,United States,2011-01-20,2014-12-26,39,68,207,15466.218400000002,14707.6045,758.6138999999998,3728.451599999999,1848.589,2,31,15466.218400000002,758.6138999999998,396.5697025641026,19.451638461538455,4.904973409660371,5,1436,1,6.451612903225806,37.78947368421053,2011-01,5,5,3,553,13,4.0,1441,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.
ALEJANDRO_GROVE,Consumer,LATAM,United States,2011-01-09,2014-12-18,33,67,255,13417.21022,10814.6381,2602.57212,623.6997799999999,1526.076,3,25,13417.21022,2602.57212,406.58212787878784,78.86582181818181,19.397267221173493,13,1439,1,12.0,44.96875,2011-01,3,3,2,332,8,2.5,1452,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ALEJANDRO_SAVELY,Corporate,APAC,United States,2011-03-21,2014-12-13,43,77,273,21118.32446,18584.7584,2533.56606,1307.8955400000002,2379.881,5,30,21118.32446,2533.56606,491.1238246511628,58.92014093023256,11.99700319406874,18,1363,1,16.666666666666664,32.45238095238095,2011-03,3,5,5,355,13,5.0,1381,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.
ALEKSANDRA_GANNAWAY,Corporate,LATAM,United States,2011-01-19,2014-12-29,30,58,206,14717.1862,13944.0396,773.1466000000003,5277.3138,1290.271,1,24,14717.1862,773.1466000000003,490.57287333333335,25.77155333333334,5.253358824800356,2,1440,1,4.166666666666666,49.6551724137931,2011-01,5,2,3,523,10,2.5,1442,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ALEX_AVILA,Consumer,EU,United States,2011-03-31,2014-12-29,26,50,165,15990.669,15007.4125,983.2564999999996,2047.621,1451.942,2,19,15990.669,983.2564999999996,615.0257307692308,37.81755769230768,6.148939109426877,2,1369,1,10.526315789473683,54.76,2011-03,5,1,3,513,9,2.0,1371,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ALEX_GRAYSON,Consumer,LATAM,United States,2011-07-20,2014-12-29,36,77,250,15067.05118,14060.0791,1006.97208,4316.54882,1993.076,1,29,15067.05118,1006.97208,418.5291994444444,27.971446666666665,6.683272446413764,2,1258,1,3.4482758620689653,35.94285714285714,2011-07,5,4,3,543,12,3.5,1260,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.
ALEX_RUSSELL,Corporate,APAC,United States,2011-03-30,2014-12-02,35,64,209,16466.868199999997,14176.2084,2290.6598000000004,3261.9318,1829.273,2,26,16466.868199999997,2290.6598000000004,470.4819485714285,65.44742285714287,13.91071922225017,29,1343,1,7.6923076923076925,39.5,2011-03,2,4,4,244,10,4.0,1372,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ALICE_MCCARTHY,Corporate,EU,France,2011-02-21,2014-12-16,39,77,284,18766.1566,15788.3042,2977.8524,2187.0134,1876.712,3,33,18766.1566,2977.8524,481.1835025641026,76.35518974358973,15.868206066233078,15,1394,1,9.090909090909092,36.68421052631579,2011-02,3,5,4,354,12,4.5,1409,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.
ALLEN_ARMOLD,Consumer,US,United States,2011-04-21,2014-12-25,31,55,169,6538.687,5783.7676,754.9194,1395.1229999999998,1022.609,2,23,6538.687,754.9194,210.9253870967742,24.35223870967742,11.545428004123764,6,1344,1,8.695652173913043,44.8,2011-04,4,2,1,421,7,1.5,1350,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ALLEN_GOLDENEN,Consumer,LATAM,United States,2011-04-19,2014-09-10,23,53,178,8926.1216,8478.8566,447.2650000000001,1560.9983999999995,926.497,3,19,8926.1216,447.2650000000001,388.0922434782609,19.446304347826093,5.010742851632226,112,1240,1,15.789473684210526,56.36363636363637,2011-04,1,1,1,111,3,1.0,1352,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile."
ALLEN_ROSENBLATT,Corporate,EU,United States,2011-01-26,2014-11-07,28,50,168,9527.93078,10080.2126,-552.2818199999999,3215.18922,927.825,3,22,9527.93078,-552.2818199999999,340.28324214285715,-19.724350714285716,-5.796450800831698,54,1381,1,13.636363636363637,51.14814814814815,2011-01,1,1,1,111,3,1.0,1435,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile."
ALYSSA_CROUSE,Corporate,LATAM,Mexico,2011-01-07,2014-12-25,33,61,180,12297.3697,11853.3342,444.0355000000002,2063.2802999999994,869.881,1,24,12297.3697,444.0355000000002,372.6475666666667,13.455621212121216,3.610816872489409,6,1448,1,4.166666666666666,45.25,2011-01,4,3,2,432,9,2.5,1454,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ALYSSA_TATE,Home Office,EMEA,United States,2011-06-02,2014-12-19,36,65,185,14942.2985,12146.7672,2795.5313,2153.1715,1362.912,2,24,14942.2985,2795.5313,415.0638472222223,77.65364722222222,18.708843890382727,12,1296,1,8.333333333333332,37.02857142857143,2011-06,4,4,3,443,11,3.5,1308,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.
AMY_COX,Consumer,US,United States,2011-08-08,2014-12-26,26,39,143,17152.9874,13172.5762,3980.4112,1632.4426,1758.327,1,19,17152.9874,3980.4112,659.7302846153847,153.09273846153846,23.20535255567202,5,1236,1,5.263157894736842,49.44,2011-08,5,1,4,514,10,2.5,1241,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
AMY_HUNT,Consumer,LATAM,United States,2011-04-06,2014-10-22,24,39,143,9198.65668,8480.3217,718.3349799999999,1219.56332,977.202,3,20,9198.65668,718.3349799999999,383.27736166666665,29.93062416666666,7.809129147757256,70,1295,1,15.0,56.30434782608695,2011-04,1,1,1,111,3,1.0,1365,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile."
ANDREW_ALLEN,Consumer,EU,United States,2011-05-04,2014-08-28,25,48,175,19759.08278,17687.9946,2071.08818,2072.70722,1815.271,0,20,19759.08278,2071.08818,790.3633112,82.84352719999998,10.481702025644328,125,1212,1,0.0,50.5,2011-05,1,1,4,114,6,2.5,1337,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile."
ANDREW_GJERTSEN,Corporate,EU,United States,2011-02-22,2014-11-13,40,78,302,16384.30206,13742.088200000002,2642.21386,2800.28794,1619.088,5,29,16384.30206,2642.21386,409.60755150000006,66.0553465,16.126496266512312,48,1360,1,17.24137931034483,34.87179487179487,2011-02,1,5,4,154,10,4.5,1408,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile."
ANDREW_ROBERTS,Consumer,APAC,United States,2011-02-21,2014-12-17,39,70,235,16916.52336,13354.7645,3561.7588600000004,1701.10664,1532.221,3,29,16916.52336,3561.7588600000004,433.7570092307692,91.32715025641026,21.05491054043625,14,1395,1,10.344827586206897,36.71052631578947,2011-02,3,5,4,354,12,4.5,1409,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.
ANDY_GERBODE,Corporate,EU,Italy,2011-06-23,2014-12-19,27,44,139,11339.639,11170.2493,169.3897000000001,2498.231,1217.149,0,20,11339.639,169.3897000000001,419.9866296296296,6.273692592592596,1.493783885007275,12,1275,1,0.0,49.03846153846154,2011-06,4,1,1,411,6,1.0,1287,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ANDY_REITER,Consumer,US,United States,2011-04-28,2014-12-25,23,35,89,8545.5505,5406.4672,3139.0833,536.0894999999999,1005.081,1,15,8545.5505,3139.0833,371.54567391304346,136.48188260869566,36.73354103986631,6,1337,1,6.666666666666667,60.77272727272727,2011-04,4,1,1,411,6,1.0,1343,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ANDY_YOTOV,Corporate,EMEA,United States,2011-04-06,2014-12-17,27,50,163,8543.03044,6252.0541,2290.97634,414.22956,850.417,2,16,8543.03044,2290.97634,316.40853481481486,84.85097555555556,26.816904798480383,14,1351,1,12.5,51.96153846153846,2011-04,3,1,1,311,5,1.0,1365,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ANEMONE_RATNER,Consumer,APAC,India,2011-04-21,2014-12-29,27,50,178,11489.92732,9495.277,1994.65032,1178.40268,1367.73,1,18,11489.92732,1994.65032,425.5528637037037,73.87593777777778,17.359990750576827,2,1348,1,5.555555555555555,51.84615384615385,2011-04,5,1,1,511,7,1.0,1350,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ANGELE_HOOD,Consumer,APAC,United States,2011-06-08,2014-12-10,31,49,170,11358.1131,9748.041,1610.0721,1963.1369,1541.881,0,22,11358.1131,1610.0721,366.3907451612904,51.93780967741936,14.175524453969384,21,1281,1,0.0,42.7,2011-06,3,2,1,321,6,1.5,1302,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ANNA_ANDREADI,Consumer,APAC,United States,2011-01-26,2014-12-03,47,91,302,17312.2147,14869.1217,2443.0930000000003,3339.1253,1961.26,1,36,17312.2147,2443.0930000000003,368.34499361702126,51.98070212765958,14.11196107682283,28,1407,1,2.7777777777777777,30.58695652173913,2011-01,2,5,4,254,11,4.5,1435,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ANNA_CHUNG,Consumer,EU,United States,2011-06-06,2014-12-29,25,43,152,8931.70908,9203.8364,-272.12731999999994,3766.52092,941.346,1,21,8931.70908,-272.12731999999994,357.2683632,-10.885092799999995,-3.0467553025137257,2,1302,1,4.761904761904762,54.25,2011-06,5,1,1,511,7,1.0,1304,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ANNA_GAYMAN,Consumer,EU,United States,2011-03-09,2014-11-14,31,77,249,15391.967,14468.9053,923.0617,4774.693,2002.839,2,21,15391.967,923.0617,496.515064516129,29.77618387096774,5.99703533667919,47,1346,1,9.523809523809524,44.86666666666667,2011-03,1,2,3,123,6,2.5,1393,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile."
ANNA_H_BERLIN,Corporate,US,United States,2011-02-11,2014-12-01,36,76,280,18094.05912,15628.0474,2466.0117199999995,2651.8608799999997,1461.644,4,31,18094.05912,2466.0117199999995,502.6127533333334,68.50032555555555,13.628847477757104,30,1389,1,12.903225806451612,39.68571428571428,2011-02,2,4,4,244,10,4.0,1419,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ANNE_MCFARLAND,Consumer,APAC,United States,2011-05-03,2014-12-06,36,79,303,25522.3345,22283.7494,3238.5851,3399.5155,3404.441,1,30,25522.3345,3238.5851,708.9537361111111,89.96069722222222,12.689219710681249,25,1313,1,3.333333333333333,37.51428571428571,2011-05,2,4,5,245,11,4.5,1338,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ANNE_PRYOR,Home Office,US,United States,2011-03-03,2014-11-24,26,63,244,16361.7603,13368.9952,2992.7651,1290.1797,1819.042,1,20,16361.7603,2992.7651,629.2984730769231,115.10635,18.29121711311221,37,1362,1,5.0,54.48,2011-03,1,1,3,113,5,2.0,1399,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile."
ANNIE_THURMAN,Consumer,US,United States,2011-01-01,2014-12-29,34,55,186,13387.7549,10727.977,2659.7779,1821.1951,1312.932,0,29,13387.7549,2659.7779,393.7574970588235,78.22876176470588,19.867243760191634,2,1458,1,0.0,44.18181818181818,2011-01,5,3,2,532,10,2.5,1460,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ANNIE_ZYPERN,Consumer,US,United States,2011-03-17,2014-12-05,28,68,215,11871.078,10946.7177,924.3603,2373.012,969.224,1,18,11871.078,924.3603,423.9670714285714,33.01286785714286,7.786658465221103,26,1359,1,5.555555555555555,50.333333333333336,2011-03,2,1,2,212,5,1.5,1385,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ANN_BLUME,Corporate,APAC,United States,2011-01-19,2014-12-24,27,64,238,18727.2131,16857.202400000002,1870.0107,3840.5969,2687.601,1,22,18727.2131,1870.0107,693.6004851851852,69.25965555555555,9.98552582284654,7,1435,1,4.545454545454546,55.19230769230769,2011-01,4,1,4,414,9,2.5,1442,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ANN_CHONG,Corporate,APAC,India,2011-04-30,2014-12-25,36,83,264,15028.15648,14148.0287,880.1277799999998,3957.23352,1540.02,4,29,15028.15648,880.1277799999998,417.4487911111112,24.447993888888885,5.856525257581026,6,1335,1,13.79310344827586,38.142857142857146,2011-04,4,4,3,443,11,3.5,1341,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.
ANN_STEELE,Home Office,Africa,United States,2011-02-04,2014-11-28,30,55,164,11815.9495,9724.8961,2091.0534,3087.7905,738.938,0,19,11815.9495,2091.0534,393.8649833333333,69.70178000000001,17.696871504063218,33,1393,1,0.0,48.03448275862069,2011-02,2,2,2,222,6,2.0,1426,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ANTHONY_GARVERICK,Home Office,LATAM,United States,2011-01-12,2014-12-03,35,58,227,11684.3115,11509.005,175.30650000000014,3928.7985,1079.019,2,27,11684.3115,175.30650000000014,333.8374714285714,5.008757142857147,1.5003579800144848,28,1421,1,7.4074074074074066,41.794117647058826,2011-01,2,4,2,242,8,3.0,1449,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ANTHONY_JACOBS,Corporate,Africa,United States,2011-01-11,2014-12-30,37,79,232,17757.0612,16584.821,1172.2401999999995,3861.1888,2332.266,3,25,17757.0612,1172.2401999999995,479.920572972973,31.68216756756756,6.601543953680802,1,1449,1,12.0,40.25,2011-01,5,4,4,544,13,4.0,1450,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.
