customer_key,customer_name,customer_segment,customer_ids,n_customer_ids,first_order_date,last_order_date,markets,primary_country,n_orders,n_lines,revenue,profit,signup_date_observed
ALAN_BARNES,Alan Barnes,Consumer,AB-10165|AB-165,2,2011-02-18,2014-12-18,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,35,60,13049.041000000001,2436.066,2011-02-18
ALAN_DOMINGUEZ,Alan Dominguez,Home Office,AD-10180|AD-180,2,2011-08-16,2014-12-26,APAC|Africa|EMEA|EU|LATAM|US,United States,30,55,18539.7928,1539.9922,2011-08-16
ALAN_HAINES,Alan Haines,Corporate,AH-10195|AH-195,2,2011-01-17,2014-11-12,APAC|Africa|Canada|EMEA|EU|LATAM|US,Italy,34,77,15279.75678,-592.2461199999997,2011-01-17
ALAN_HWANG,Alan Hwang,Consumer,AH-10210|AH-210,2,2011-08-13,2014-12-25,APAC|Africa|EMEA|EU|LATAM|US,United States,38,74,23642.85018,4342.37078,2011-08-13
ALAN_SCHOENBERGER,Alan Schoenberger,Corporate,AS-10225|AS-225,2,2011-05-18,2014-12-29,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,35,73,21836.4137,2503.6348,2011-05-18
ALAN_SHONELY,Alan Shonely,Consumer,AS-10240|AS-240,2,2011-01-26,2014-12-19,APAC|Canada|EMEA|EU|LATAM|US,France,36,63,10693.17636,1175.45416,2011-01-26
ALEJANDRO_BALLENTINE,Alejandro Ballentine,Home Office,AB-10255|AB-255,2,2011-01-20,2014-12-26,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,39,68,15466.2184,758.6138999999997,2011-01-20
ALEJANDRO_GROVE,Alejandro Grove,Consumer,AG-10270|AG-270,2,2011-01-09,2014-12-18,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,33,67,13417.21022,2602.57212,2011-01-09
ALEJANDRO_SAVELY,Alejandro Savely,Corporate,AS-10285|AS-285,2,2011-03-21,2014-12-13,APAC|Africa|EMEA|EU|LATAM|US,India,43,77,21118.32446,2533.56606,2011-03-21
ALEKSANDRA_GANNAWAY,Aleksandra Gannaway,Corporate,AG-10300|AG-300,2,2011-01-19,2014-12-29,APAC|Africa|EMEA|EU|LATAM|US,France,30,58,14717.1862,773.1466000000001,2011-01-19
ALEX_AVILA,Alex Avila,Consumer,AA-10315|AA-315,2,2011-03-31,2014-12-29,APAC|Africa|EMEA|EU|LATAM|US,United Kingdom,26,50,15990.669,983.2564999999997,2011-03-31
ALEX_GRAYSON,Alex Grayson,Consumer,AG-10330|AG-330,2,2011-07-20,2014-12-29,APAC|Africa|EMEA|EU|LATAM|US,United States,36,77,15067.051179999999,1006.97208,2011-07-20
ALEX_RUSSELL,Alex Russell,Corporate,AR-10345|AR-345,2,2011-03-30,2014-12-02,APAC|Africa|EMEA|EU|LATAM|US,Australia,35,64,16466.868199999997,2290.6598,2011-03-30
ALICE_MCCARTHY,Alice McCarthy,Corporate,AM-10360|AM-360,2,2011-02-21,2014-12-16,APAC|Africa|EMEA|EU|LATAM|US,United States,39,77,18766.156600000002,2977.8523999999998,2011-02-21
ALLEN_ARMOLD,Allen Armold,Consumer,AA-10375|AA-375,2,2011-04-21,2014-12-25,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,31,55,6538.687,754.9194,2011-04-21
ALLEN_GOLDENEN,Allen Goldenen,Consumer,AG-10390|AG-390,2,2011-04-19,2014-09-10,APAC|Africa|EMEA|EU|LATAM|US,United States,23,53,8926.1216,447.26500000000004,2011-04-19
ALLEN_ROSENBLATT,Allen Rosenblatt,Corporate,AR-10405|AR-405,2,2011-01-26,2014-11-07,APAC|Africa|EMEA|EU|LATAM|US,Mexico,28,50,9527.93078,-552.2818199999999,2011-01-26
ALYSSA_CROUSE,Alyssa Crouse,Corporate,AC-10420|AC-420,2,2011-01-07,2014-12-25,APAC|Africa|EMEA|EU|LATAM|US,Algeria,33,61,12297.3697,444.03550000000007,2011-01-07
ALYSSA_TATE,Alyssa Tate,Home Office,AT-10435|AT-435,2,2011-06-02,2014-12-19,APAC|Africa|EMEA|EU|LATAM|US,Indonesia,36,65,14942.298499999999,2795.5313,2011-06-02
AMY_COX,Amy Cox,Consumer,AC-10450|AC-450,2,2011-08-08,2014-12-26,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,26,39,17152.9874,3980.4112,2011-08-08
AMY_HUNT,Amy Hunt,Consumer,AH-10465|AH-465,2,2011-04-06,2014-10-22,APAC|Africa|EMEA|EU|LATAM|US,United States,24,39,9198.65668,718.3349799999997,2011-04-06
ANDREW_ALLEN,Andrew Allen,Consumer,AA-10480|AA-480,2,2011-05-04,2014-08-28,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,25,48,19759.08278,2071.0881799999997,2011-05-04
ANDREW_GJERTSEN,Andrew Gjertsen,Corporate,AG-10495|AG-495,2,2011-02-22,2014-11-13,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,40,78,16384.30206,2642.21386,2011-02-22
ANDREW_ROBERTS,Andrew Roberts,Consumer,AR-10510|AR-510,2,2011-02-21,2014-12-17,APAC|Africa|EMEA|EU|LATAM|US,Australia,39,70,16916.52336,3561.75886,2011-02-21
ANDY_GERBODE,Andy Gerbode,Corporate,AG-10525|AG-525,2,2011-06-23,2014-12-19,APAC|Africa|EMEA|EU|LATAM|US,United States,27,44,11339.639,169.38970000000012,2011-06-23
ANDY_REITER,Andy Reiter,Consumer,AR-10540|AR-540,2,2011-04-28,2014-12-25,APAC|Africa|EMEA|EU|LATAM|US,United States,23,35,8545.5505,3139.0833,2011-04-28
ANDY_YOTOV,Andy Yotov,Corporate,AY-10555|AY-555,2,2011-04-06,2014-12-17,APAC|Africa|EMEA|EU|LATAM|US,United States,27,50,8543.03044,2290.97634,2011-04-06
ANEMONE_RATNER,Anemone Ratner,Consumer,AR-10570|AR-570,2,2011-04-21,2014-12-29,APAC|Africa|EMEA|EU|LATAM|US,Democratic Republic of the Congo,27,50,11489.92732,1994.65032,2011-04-21
ANGELE_HOOD,Angele Hood,Consumer,AH-10585|AH-585,2,2011-06-08,2014-12-10,APAC|Africa|EMEA|EU|LATAM|US,Turkey,31,49,11358.1131,1610.0721,2011-06-08
ANNA_ANDREADI,Anna Andreadi,Consumer,AA-10645|AA-645,2,2011-01-26,2014-12-03,APAC|Africa|EMEA|EU|LATAM|US,United States,47,91,17312.2147,2443.0930000000003,2011-01-26
ANNA_CHUNG,Anna Chung,Consumer,AC-10660|AC-660,2,2011-06-06,2014-12-29,APAC|Africa|EMEA|EU|LATAM|US,Haiti,25,43,8931.70908,-272.1273199999999,2011-06-06
ANNA_GAYMAN,Anna Gayman,Consumer,AG-10675|AG-675,2,2011-03-09,2014-11-14,APAC|Africa|EMEA|EU|LATAM|US,United States,31,77,15391.967,923.0616999999999,2011-03-09
ANNA_H_BERLIN,Anna Häberlin,Corporate,AH-10690|AH-690,2,2011-02-11,2014-12-01,APAC|Africa|EMEA|EU|LATAM|US,United States,36,76,18094.05912,2466.0117199999995,2011-02-11
ANNE_MCFARLAND,Anne McFarland,Consumer,AM-10705|AM-705,2,2011-05-03,2014-12-06,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,36,79,25522.3345,3238.5851,2011-05-03
ANNE_PRYOR,Anne Pryor,Home Office,AP-10720|AP-720,2,2011-03-03,2014-11-24,APAC|Africa|EMEA|EU|LATAM|US,United States,26,63,16361.7603,2992.7650999999996,2011-03-03
ANNIE_THURMAN,Annie Thurman,Consumer,AT-10735|AT-735,2,2011-01-01,2014-12-29,APAC|Africa|EMEA|EU|LATAM|US,United States,34,55,13387.7549,2659.7779,2011-01-01
ANNIE_ZYPERN,Annie Zypern,Consumer,AZ-10750|AZ-750,2,2011-03-17,2014-12-05,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,28,68,11871.078,924.3603,2011-03-17
ANN_BLUME,Ann Blume,Corporate,AB-10600|AB-600,2,2011-01-19,2014-12-24,APAC|Africa|EMEA|EU|LATAM|US,Togo,27,64,18727.2131,1870.0106999999998,2011-01-19
ANN_CHONG,Ann Chong,Corporate,AC-10615|AC-615,2,2011-04-30,2014-12-25,APAC|Africa|EMEA|EU|LATAM|US,United States,36,83,15028.15648,880.1277800000001,2011-04-30
ANN_STEELE,Ann Steele,Home Office,AS-10630|AS-630,2,2011-02-04,2014-11-28,APAC|Africa|EMEA|EU|LATAM|US,United States,30,55,11815.9495,2091.0534,2011-02-04
ANTHONY_GARVERICK,Anthony Garverick,Home Office,AG-10765|AG-765,2,2011-01-12,2014-12-03,APAC|Africa|EMEA|EU|LATAM|US,El Salvador,35,58,11684.3115,175.30650000000009,2011-01-12
ANTHONY_JACOBS,Anthony Jacobs,Corporate,AJ-10780|AJ-780,2,2011-01-11,2014-12-30,APAC|Africa|Canada|EMEA|EU|LATAM|US,Nigeria,37,79,17757.0612,1172.2401999999997,2011-01-11
ANTHONY_JOHNSON,Anthony Johnson,Corporate,AJ-10795|AJ-795,2,2011-05-03,2014-11-25,APAC|Africa|EMEA|EU|LATAM|US,United States,32,77,12282.657,2478.5824,2011-05-03
ANTHONY_O_DONNELL,Anthony O'Donnell,Corporate,AO-10810|AO-810,2,2011-08-30,2014-12-24,APAC|Africa|Canada|EMEA|EU|LATAM|US,Australia,32,60,15022.803600000001,1093.0995999999998,2011-08-30
ANTHONY_RAWLES,Anthony Rawles,Corporate,AR-10825|AR-825,2,2011-04-26,2014-12-09,APAC|Africa|EMEA|EU|LATAM|US,United States,45,72,17339.9476,3117.6467999999995,2011-04-26
ANTHONY_WITT,Anthony Witt,Consumer,AW-10840|AW-840,2,2011-02-05,2014-12-15,APAC|EMEA|EU|LATAM|US,Germany,32,78,15147.25552,1216.4120199999998,2011-02-05
ARIANNE_IRVING,Arianne Irving,Consumer,AI-10855|AI-855,2,2011-04-28,2014-12-18,APAC|Africa|EMEA|EU|LATAM|US,United States,26,50,9278.5763,1538.1774,2011-04-28
ARTHUR_GAINER,Arthur Gainer,Consumer,AG-10900|AG-900,2,2011-01-30,2014-12-08,APAC|Africa|EU|LATAM|US,United States,33,75,19873.64176,1733.24716,2011-01-30
ARTHUR_PRICHEP,Arthur Prichep,Consumer,AP-10915|AP-915,2,2011-01-04,2014-10-16,APAC|Africa|EMEA|EU|LATAM|US,United States,37,87,18545.9403,3137.6155999999996,2011-01-04
ARTHUR_WIEDIGER,Arthur Wiediger,Home Office,AW-10930|AW-930,2,2011-01-04,2014-11-26,APAC|Africa|EMEA|EU|LATAM|US,United States,28,49,11013.01356,2680.9669599999997,2011-01-04
ART_FERGUSON,Art Ferguson,Consumer,AF-10870|AF-870,2,2011-03-30,2014-12-26,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,45,98,28187.340500000002,2278.3037,2011-03-30
ART_FOSTER,Art Foster,Consumer,AF-10885|AF-885,2,2011-03-28,2014-11-08,APAC|Africa|EMEA|EU|LATAM|US,France,37,76,20066.15728,2971.23478,2011-03-28
ASHLEY_JARBOE,Ashley Jarboe,Consumer,AJ-10945|AJ-945,2,2011-03-03,2014-12-03,APAC|Africa|EMEA|EU|LATAM|US,United States,36,56,15947.948,3006.7032,2011-03-03
ASTREA_JONES,Astrea Jones,Consumer,AJ-10960|AJ-960,2,2011-03-03,2014-11-13,APAC|Africa|EMEA|EU|LATAM|US,Cuba,27,60,13262.74948,2531.35798,2011-03-03
BARBARA_FISHER,Barbara Fisher,Corporate,BF-10975|BF-975,2,2011-07-14,2014-12-09,APAC|Africa|EMEA|EU|LATAM|US,United States,30,62,9835.0112,1833.7316,2011-07-14
BARRY_BLUMSTEIN,Barry Blumstein,Corporate,BB-10990|BB-990,2,2011-04-05,2014-12-17,APAC|Africa|EMEA|EU|LATAM|US,United States,37,62,9886.8207,299.4245999999999,2011-04-05
BARRY_FRANZ,Barry Franz,Home Office,BF-1005|BF-11005,2,2011-04-25,2014-12-23,APAC|Africa|EMEA|EU|LATAM|US,United States,27,69,24079.87166,1115.6705599999998,2011-04-25
BARRY_FRANZ_SISCH,Barry Französisch,Corporate,BF-1020|BF-11020,2,2011-02-16,2014-12-16,APAC|Africa|EMEA|EU|LATAM|US,United States,31,62,13208.2773,940.1213000000001,2011-02-16
BARRY_GONZALEZ,Barry Gonzalez,Consumer,BG-1035|BG-11035,2,2011-09-27,2014-12-03,APAC|EMEA|EU|LATAM|US,United States,34,67,20023.5634,1530.178,2011-09-27
BARRY_POND,Barry Pond,Corporate,BP-1050|BP-11050,2,2011-03-05,2014-12-26,APAC|Africa|EMEA|EU|LATAM|US,El Salvador,30,57,10385.32876,2090.96176,2011-03-05
BARRY_WEIRICH,Barry Weirich,Consumer,BW-1065|BW-11065,2,2011-01-27,2014-12-09,APAC|Africa|Canada|EU|LATAM|US,Australia,23,51,17436.5359,3695.4033,2011-01-27
BART_FOLK,Bart Folk,Consumer,BF-1080|BF-11080,2,2011-03-30,2014-12-06,APAC|Africa|Canada|EMEA|EU|LATAM|US,Australia,27,55,13942.7317,2084.5089,2011-03-30
BART_PISTOLE,Bart Pistole,Corporate,BP-1095|BP-11095,2,2011-01-14,2014-12-29,APAC|Africa|EMEA|EU|LATAM|US,United States,38,70,10087.5376,984.2586999999997,2011-01-14
BART_WATTERS,Bart Watters,Corporate,BW-1110|BW-11110,2,2011-02-16,2014-11-07,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,45,96,32310.446500000002,3595.8858999999998,2011-02-16
BECKY_CASTELL,Becky Castell,Home Office,BC-11125|BC-1125,2,2011-03-10,2014-12-02,APAC|Africa|EMEA|EU|LATAM|US,Spain,34,87,15185.489,2485.9604000000004,2011-03-10
BECKY_MARTIN,Becky Martin,Consumer,BM-11140|BM-1140,2,2011-06-02,2014-12-23,APAC|Africa|EMEA|EU|LATAM|US,United States,35,78,27169.982699999997,-1096.9254000000024,2011-06-02
BECKY_PAK,Becky Pak,Consumer,BP-11155|BP-1155,2,2011-06-08,2014-11-29,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,30,58,14806.92346,3576.20716,2011-06-08
BENJAMIN_FARHAT,Benjamin Farhat,Home Office,BF-11215|BF-1215,2,2011-02-16,2014-12-05,APAC|Africa|EU|LATAM|US,Australia,32,62,13367.8575,641.3188000000002,2011-02-16
BENJAMIN_PATTERSON,Benjamin Patterson,Consumer,BP-11230|BP-1230,2,2011-04-01,2014-11-22,APAC|Africa|EMEA|EU|LATAM|US,Nigeria,31,67,18708.601599999998,912.2121000000003,2011-04-01
BENJAMIN_VENIER,Benjamin Venier,Corporate,BV-11245|BV-1245,2,2011-06-02,2014-11-17,APAC|EMEA|EU|LATAM|US,United States,25,61,21365.942000000003,2819.7504,2011-06-02
BEN_FERRER,Ben Ferrer,Home Office,BF-11170|BF-1170,2,2011-04-13,2014-12-15,APAC|Africa|EMEA|EU|LATAM|US,United States,37,86,23219.760440000002,4135.10114,2011-04-13
BEN_PETERMAN,Ben Peterman,Corporate,BP-11185|BP-1185,2,2011-09-23,2014-12-30,APAC|Africa|EMEA|EU|LATAM|US,United States,38,74,16806.64772,1343.9558199999997,2011-09-23
BEN_WALLACE,Ben Wallace,Consumer,BW-11200|BW-1200,2,2011-01-13,2014-11-21,APAC|Africa|EMEA|EU|LATAM|US,United States,33,68,14968.18508,2352.20638,2011-01-13
BERENIKE_KAMPE,Berenike Kampe,Consumer,BK-11260|BK-1260,2,2011-04-11,2014-12-05,APAC|Africa|EMEA|EU|LATAM|US,United States,33,64,13586.25136,2447.6789599999997,2011-04-11
BETH_FRITZLER,Beth Fritzler,Corporate,BF-11275|BF-1275,2,2011-03-22,2014-12-25,APAC|Africa|EMEA|EU|LATAM|US,Cuba,30,58,10588.57264,661.4528400000003,2011-03-22
BETH_PAIGE,Beth Paige,Consumer,BP-11290|BP-1290,2,2011-01-18,2014-12-19,APAC|Africa|EMEA|EU|LATAM|US,United States,33,55,12832.23978,1958.0990799999995,2011-01-18
BETH_THOMPSON,Beth Thompson,Home Office,BT-11305|BT-1305,2,2011-01-04,2014-12-03,APAC|Africa|EMEA|EU|LATAM|US,Germany,34,70,11627.779999999999,863.9258000000001,2011-01-04
BILL_DONATELLI,Bill Donatelli,Consumer,BD-11320|BD-1320,2,2011-04-22,2014-12-26,APAC|Africa|EMEA|EU|LATAM|US,United States,38,69,15275.317,1622.6797,2011-04-22
BILL_EPLETT,Bill Eplett,Home Office,BE-11335|BE-1335,2,2011-04-13,2014-11-26,APAC|Africa|EMEA|EU|LATAM|US,China,42,102,28479.167400000002,7410.005300000001,2011-04-13
BILL_OVERFELT,Bill Overfelt,Corporate,BO-11350|BO-1350,2,2011-10-13,2014-12-10,APAC|Africa|EMEA|EU|LATAM|US,United States,26,47,8092.4907,415.2196999999999,2011-10-13
BILL_SHONELY,Bill Shonely,Corporate,BS-11365|BS-1365,2,2011-05-04,2014-12-31,APAC|Africa|EMEA|EU|LATAM|US,Brazil,31,68,23508.65596,5968.907359999999,2011-05-04
BILL_STEWART,Bill Stewart,Corporate,BS-11380|BS-1380,2,2011-02-26,2014-12-03,APAC|Africa|EMEA|EU|LATAM|US,United States,28,66,18775.4363,1815.0301000000002,2011-02-26
BILL_TYLER,Bill Tyler,Corporate,BT-11395|BT-1395,2,2011-03-10,2014-12-03,APAC|Africa|EMEA|EU|LATAM|US,United States,28,50,11796.377,2544.9303,2011-03-10
BOBBY_ELIAS,Bobby Elias,Consumer,BE-11410|BE-1410,2,2011-04-08,2014-12-10,APAC|Africa|EMEA|EU|LATAM|US,United Kingdom,37,60,18411.92896,3789.15606,2011-04-08
BOBBY_ODEGARD,Bobby Odegard,Consumer,BO-11425|BO-1425,2,2011-02-26,2014-12-30,APAC|Africa|EMEA|EU|LATAM|US,France,29,57,15027.84252,2556.82472,2011-02-26
BOBBY_TRAFTON,Bobby Trafton,Consumer,BT-11440|BT-1440,2,2011-04-04,2014-11-10,APAC|Africa|EMEA|EU|LATAM|US,Turkey,31,53,10396.5405,-469.79109999999986,2011-04-04
BRADLEY_DRUCKER,Bradley Drucker,Consumer,BD-11500|BD-1500,2,2011-01-04,2014-12-12,APAC|Africa|EU|LATAM|US,United States,30,44,13141.8965,2381.066,2011-01-04
BRADLEY_NGUYEN,Bradley Nguyen,Consumer,BN-11515|BN-1515,2,2011-03-17,2014-12-22,APAC|Africa|EMEA|EU|LATAM|US,United States,31,65,12879.02752,2544.06892,2011-03-17
BRADLEY_TALBOTT,Bradley Talbott,Home Office,BT-11530|BT-1530,2,2011-01-26,2014-11-28,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,32,55,15344.099,1453.6353000000001,2011-01-26
BRAD_EASON,Brad Eason,Home Office,BE-11455|BE-1455,2,2011-03-04,2014-12-28,APAC|Africa|EMEA|EU|LATAM|US,United States,29,69,18983.8353,978.0240999999997,2011-03-04
BRAD_NORVELL,Brad Norvell,Corporate,BN-11470|BN-1470,2,2011-09-12,2014-12-20,APAC|Africa|EMEA|EU|LATAM|US,China,36,70,26201.95588,2124.05298,2011-09-12
BRAD_THOMAS,Brad Thomas,Home Office,BT-11485|BT-1485,2,2011-01-25,2014-12-01,APAC|Africa|EMEA|EU|LATAM|US,France,38,65,11682.02454,939.6279399999997,2011-01-25
BRENDAN_DODSON,Brendan Dodson,Home Office,BD-11560|BD-1560,2,2011-01-31,2014-12-24,APAC|Africa|EMEA|EU|LATAM|US,Germany,24,36,10920.79974,2024.70374,2011-01-31
BRENDAN_MURRY,Brendan Murry,Corporate,BM-11575|BM-1575,2,2011-01-22,2014-11-27,APAC|Africa|EMEA|EU|LATAM|US,United States,34,55,12055.31508,282.13468000000006,2011-01-22
BRENDAN_SWEED,Brendan Sweed,Corporate,BS-11590|BS-1590,2,2011-01-15,2014-11-26,APAC|Africa|EMEA|EU|LATAM|US,China,28,58,12178.03602,2045.6887199999999,2011-01-15
BRENDA_BOWMAN,Brenda Bowman,Corporate,BB-11545|BB-1545,2,2011-10-13,2014-12-03,APAC|Africa|EMEA|EU|LATAM|US,United States,31,63,16004.79988,1738.8468799999994,2011-10-13
BRIAN_DAHLEN,Brian Dahlen,Consumer,BD-11605|BD-1605,2,2011-01-10,2014-09-25,APAC|Africa|EMEA|EU|LATAM|US,United States,24,48,9892.30214,1425.66744,2011-01-10
BRIAN_DECHERNEY,Brian DeCherney,Consumer,BD-11620|BD-1620,2,2011-03-01,2014-11-12,APAC|Africa|EMEA|EU|LATAM|US,Iraq,36,67,10768.597020000001,984.4239199999997,2011-03-01
BRIAN_DERR,Brian Derr,Consumer,BD-11635|BD-1635,2,2011-04-12,2014-12-22,APAC|Africa|EMEA|EU|LATAM|US,Germany,34,68,16919.961300000003,2792.3093,2011-04-12
BRIAN_MOSS,Brian Moss,Corporate,BM-11650|BM-1650,2,2011-07-09,2014-11-28,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,32,78,17458.10208,4385.84518,2011-07-09
BRIAN_STUGART,Brian Stugart,Consumer,BS-11665|BS-1665,2,2011-05-14,2014-12-02,APAC|Africa|EMEA|EU|LATAM|US,United States,31,71,22570.789,3612.8758,2011-05-14
BRIAN_THOMPSON,Brian Thompson,Consumer,BT-11680|BT-1680,2,2011-03-16,2014-12-13,APAC|Africa|EMEA|EU|LATAM|US,United States,26,58,14895.1231,1795.5494999999999,2011-03-16
BROOKE_GILLINGHAM,Brooke Gillingham,Corporate,BG-11695|BG-1695,2,2011-04-30,2014-12-22,APAC|Africa|EMEA|EU|LATAM|US,United States,24,49,11212.17038,417.3198799999998,2011-04-30
BROSINA_HOFFMAN,Brosina Hoffman,Consumer,BH-11710|BH-1710,2,2011-01-06,2014-12-08,APAC|Africa|EMEA|EU|LATAM|US,United States,41,97,28120.621,4876.939799999999,2011-01-06
BRUCE_DEGENHARDT,Bruce Degenhardt,Consumer,BD-11725|BD-1725,2,2011-01-14,2014-12-27,APAC|Africa|EMEA|EU|LATAM|US,United States,43,76,15956.227,2475.1560999999997,2011-01-14
BRUCE_GELD,Bruce Geld,Consumer,BG-11740|BG-1740,2,2011-03-23,2014-12-25,APAC|Africa|EMEA|EU|LATAM|US,France,28,56,15381.7965,1426.6283999999996,2011-03-23
BRUCE_STEWART,Bruce Stewart,Consumer,BS-11755|BS-1755,2,2011-05-18,2014-12-30,APAC|Africa|EMEA|EU|LATAM|US,United States,34,83,19237.2195,496.9591000000004,2011-05-18
BRYAN_DAVIS,Bryan Davis,Consumer,BD-11770|BD-1770,2,2011-01-31,2014-11-26,APAC|Africa|EMEA|EU|LATAM|US,United States,31,64,13573.39126,1528.2702600000002,2011-01-31
BRYAN_MILLS,Bryan Mills,Consumer,BM-11785|BM-1785,2,2011-03-10,2014-12-29,APAC|Africa|EMEA|EU|LATAM|US,United States,45,84,20691.194900000002,2512.6168,2011-03-10
BRYAN_SPRUELL,Bryan Spruell,Home Office,BS-11800|BS-1800,2,2011-03-01,2014-12-22,APAC|Africa|EMEA|EU|LATAM|US,France,30,69,17252.0658,2783.2074,2011-03-01
CANDACE_MCMAHON,Candace McMahon,Corporate,CM-11815|CM-1815,2,2011-03-14,2014-11-21,APAC|Africa|EMEA|EU|LATAM|US,United States,28,46,14794.6744,-2798.7906,2011-03-14
CARI_MACINTYRE,Cari MacIntyre,Corporate,CM-11830|CM-1830,2,2011-07-08,2014-12-25,APAC|Africa|EMEA|EU|LATAM,France,37,77,21606.226000000002,2484.686,2011-07-08
CARI_SAYRE,Cari Sayre,Corporate,CS-11845|CS-1845,2,2011-01-13,2014-12-16,APAC|Africa|EMEA|EU|LATAM|US,Turkey,34,68,22064.3646,2915.3282,2011-01-13
CARI_SCHNELLING,Cari Schnelling,Consumer,CS-11860|CS-1860,2,2011-03-03,2014-11-11,APAC|Africa|EMEA|EU|LATAM|US,United States,30,60,12174.598820000001,1319.8943199999999,2011-03-03
CARLOS_DALY,Carlos Daly,Consumer,CD-11920|CD-1920,2,2011-03-12,2014-12-29,APAC|Africa|EMEA|EU|LATAM|US,France,31,70,20117.966399999998,5028.9094,2011-03-12
CARLOS_MEADOR,Carlos Meador,Consumer,CM-11935|CM-1935,2,2011-02-23,2014-11-25,APAC|Africa|EMEA|EU|LATAM|US,Germany,25,42,10148.3064,2206.362,2011-02-23
CARLOS_SOLTERO,Carlos Soltero,Consumer,CS-11950|CS-1950,2,2011-02-24,2014-12-06,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,36,68,14937.04334,-1000.0759599999997,2011-02-24
CARL_JACKSON,Carl Jackson,Corporate,CJ-11875|CJ-1875,2,2011-09-12,2014-12-18,APAC|Africa|EMEA|EU|LATAM|US,Australia,29,56,13970.26496,1957.4269600000002,2011-09-12
CARL_LUDWIG,Carl Ludwig,Consumer,CL-11890|CL-1890,2,2011-01-22,2014-12-18,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,40,60,18183.15636,-164.2629400000006,2011-01-22
CARL_WEISS,Carl Weiss,Home Office,CW-11905|CW-1905,2,2011-06-09,2014-12-23,APAC|Africa|EMEA|EU|LATAM|US,United Kingdom,29,55,14353.9416,3007.3994,2011-06-09
CAROLINE_JUMPER,Caroline Jumper,Consumer,CJ-12010|CJ-2010,2,2011-06-02,2014-11-28,APAC|Africa|Canada|EU|LATAM|US,United States,29,58,19579.564599999998,2417.5919999999996,2011-06-02
CAROL_ADAMS,Carol Adams,Corporate,CA-11965|CA-1965,2,2011-01-27,2014-12-13,APAC|Africa|EMEA|EU|LATAM|US,United States,34,57,23993.6624,3279.0812999999994,2011-01-27
