customer_key,customer_segment,primary_market,primary_country,first_order_date,last_order_date,order_frequency,lifetime_revenue,lifetime_profit,avg_order_value,profit_margin_pct,cohort_month,is_repeat_customer,avg_days_between_orders,returned_orders,measured_orders,segment,segment_action,label_caveat,r_score,f_score,m_score,rfm_sum,days_since_last_purchase,days_since_first_purchase,customer_name,is_unprofitable,cohort_year,first_order_date_key
ALAN_BARNES,Consumer,EU,United States,2011-02-18,2014-12-18,35,13049.041,2436.0660000000003,372.8297428571429,18.6685443014548,2011-02,1,41.14705882352941,3,29,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,3,4,2,9,13,1412,Alan Barnes,0,2011,20110218
ALAN_DOMINGUEZ,Home Office,APAC,United States,2011-08-16,2014-12-26,30,18539.7928,1539.9922,617.9930933333333,8.30641537698307,2011-08,1,42.3448275862069,0,27,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,5,2,4,11,5,1233,Alan Dominguez,0,2011,20110816
ALAN_HAINES,Corporate,EU,Italy,2011-01-17,2014-11-12,34,15279.75678,-592.2461199999998,449.40461117647055,-3.876017979390898,2011-01,1,42.27272727272727,1,25,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,3,3,7,49,1444,Alan Haines,1,2011,20110117
ALAN_HWANG,Consumer,LATAM,United States,2011-08-13,2014-12-25,38,23642.85018,4342.37078,622.1802678947369,18.366528345526238,2011-08,1,33.24324324324324,0,34,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.,4,5,5,14,6,1236,Alan Hwang,0,2011,20110813
ALAN_SCHOENBERGER,Corporate,APAC,United States,2011-05-18,2014-12-29,35,21836.4137,2503.6348,623.8975342857143,11.465412014977533,2011-05,1,38.85294117647059,2,28,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.,5,4,5,14,2,1323,Alan Schoenberger,0,2011,20110518
ALAN_SHONELY,Consumer,EU,United States,2011-01-26,2014-12-19,36,10693.17636,1175.45416,297.03267666666665,10.992563111528067,2011-01,1,40.65714285714286,1,31,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,4,4,1,9,12,1435,Alan Shonely,0,2011,20110126
ALEJANDRO_BALLENTINE,Home Office,LATAM,United States,2011-01-20,2014-12-26,39,15466.218400000002,758.6138999999998,396.5697025641026,4.904973409660371,2011-01,1,37.78947368421053,2,31,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.,5,5,3,13,5,1441,Alejandro Ballentine,0,2011,20110120
ALEJANDRO_GROVE,Consumer,LATAM,United States,2011-01-09,2014-12-18,33,13417.21022,2602.57212,406.58212787878784,19.397267221173493,2011-01,1,44.96875,3,25,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,3,3,2,8,13,1452,Alejandro Grove,0,2011,20110109
ALEJANDRO_SAVELY,Corporate,APAC,United States,2011-03-21,2014-12-13,43,21118.32446,2533.56606,491.1238246511628,11.99700319406874,2011-03,1,32.45238095238095,5,30,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,3,5,5,13,18,1381,Alejandro Savely,0,2011,20110321
ALEKSANDRA_GANNAWAY,Corporate,LATAM,United States,2011-01-19,2014-12-29,30,14717.1862,773.1466000000003,490.57287333333335,5.253358824800356,2011-01,1,49.6551724137931,1,24,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,5,2,3,10,2,1442,Aleksandra Gannaway,0,2011,20110119
ALEX_AVILA,Consumer,EU,United States,2011-03-31,2014-12-29,26,15990.669,983.2564999999996,615.0257307692308,6.148939109426877,2011-03,1,54.76,2,19,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,5,1,3,9,2,1371,Alex Avila,0,2011,20110331
ALEX_GRAYSON,Consumer,LATAM,United States,2011-07-20,2014-12-29,36,15067.05118,1006.97208,418.5291994444444,6.683272446413764,2011-07,1,35.94285714285714,1,29,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,5,4,3,12,2,1260,Alex Grayson,0,2011,20110720
ALEX_RUSSELL,Corporate,APAC,United States,2011-03-30,2014-12-02,35,16466.868199999997,2290.6598000000004,470.4819485714285,13.91071922225017,2011-03,1,39.5,2,26,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,4,4,10,29,1372,Alex Russell,0,2011,20110330
ALICE_MCCARTHY,Corporate,EU,France,2011-02-21,2014-12-16,39,18766.1566,2977.8524,481.1835025641026,15.868206066233078,2011-02,1,36.68421052631579,3,33,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,3,5,4,12,15,1409,Alice McCarthy,0,2011,20110221
ALLEN_ARMOLD,Consumer,US,United States,2011-04-21,2014-12-25,31,6538.687,754.9194,210.9253870967742,11.545428004123764,2011-04,1,44.8,2,23,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,4,2,1,7,6,1350,Allen Armold,0,2011,20110421
ALLEN_GOLDENEN,Consumer,LATAM,United States,2011-04-19,2014-09-10,23,8926.1216,447.2650000000001,388.0922434782609,5.010742851632226,2011-04,1,56.36363636363637,3,19,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,1,1,3,112,1352,Allen Goldenen,0,2011,20110419
ALLEN_ROSENBLATT,Corporate,EU,United States,2011-01-26,2014-11-07,28,9527.93078,-552.2818199999999,340.28324214285715,-5.796450800831698,2011-01,1,51.14814814814815,3,22,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,1,1,3,54,1435,Allen Rosenblatt,1,2011,20110126
ALYSSA_CROUSE,Corporate,LATAM,Mexico,2011-01-07,2014-12-25,33,12297.3697,444.0355000000002,372.6475666666667,3.610816872489409,2011-01,1,45.25,1,24,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,4,3,2,9,6,1454,Alyssa Crouse,0,2011,20110107
ALYSSA_TATE,Home Office,EMEA,United States,2011-06-02,2014-12-19,36,14942.2985,2795.5313,415.0638472222223,18.708843890382727,2011-06,1,37.02857142857143,2,24,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,4,4,3,11,12,1308,Alyssa Tate,0,2011,20110602
AMY_COX,Consumer,US,United States,2011-08-08,2014-12-26,26,17152.9874,3980.4112,659.7302846153847,23.20535255567202,2011-08,1,49.44,1,19,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,5,1,4,10,5,1241,Amy Cox,0,2011,20110808
AMY_HUNT,Consumer,LATAM,United States,2011-04-06,2014-10-22,24,9198.65668,718.3349799999999,383.27736166666665,7.809129147757256,2011-04,1,56.30434782608695,3,20,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,1,1,3,70,1365,Amy Hunt,0,2011,20110406
ANDREW_ALLEN,Consumer,EU,United States,2011-05-04,2014-08-28,25,19759.08278,2071.08818,790.3633112,10.481702025644328,2011-05,1,50.5,0,20,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,1,4,6,125,1337,Andrew Allen,0,2011,20110504
ANDREW_GJERTSEN,Corporate,EU,United States,2011-02-22,2014-11-13,40,16384.30206,2642.21386,409.60755150000006,16.126496266512312,2011-02,1,34.87179487179487,5,29,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,5,4,10,48,1408,Andrew Gjertsen,0,2011,20110222
ANDREW_ROBERTS,Consumer,APAC,United States,2011-02-21,2014-12-17,39,16916.52336,3561.7588600000004,433.7570092307692,21.05491054043625,2011-02,1,36.71052631578947,3,29,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,3,5,4,12,14,1409,Andrew Roberts,0,2011,20110221
ANDY_GERBODE,Corporate,EU,Italy,2011-06-23,2014-12-19,27,11339.639,169.3897000000001,419.9866296296296,1.493783885007275,2011-06,1,49.03846153846154,0,20,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,4,1,1,6,12,1287,Andy Gerbode,0,2011,20110623
ANDY_REITER,Consumer,US,United States,2011-04-28,2014-12-25,23,8545.5505,3139.0833,371.54567391304346,36.73354103986631,2011-04,1,60.77272727272727,1,15,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,4,1,1,6,6,1343,Andy Reiter,0,2011,20110428
ANDY_YOTOV,Corporate,EMEA,United States,2011-04-06,2014-12-17,27,8543.03044,2290.97634,316.40853481481486,26.816904798480383,2011-04,1,51.96153846153846,2,16,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,3,1,1,5,14,1365,Andy Yotov,0,2011,20110406
ANEMONE_RATNER,Consumer,APAC,India,2011-04-21,2014-12-29,27,11489.92732,1994.65032,425.5528637037037,17.359990750576827,2011-04,1,51.84615384615385,1,18,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,5,1,1,7,2,1350,Anemone Ratner,0,2011,20110421
ANGELE_HOOD,Consumer,APAC,United States,2011-06-08,2014-12-10,31,11358.1131,1610.0721,366.3907451612904,14.175524453969384,2011-06,1,42.7,0,22,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,3,2,1,6,21,1302,Angele Hood,0,2011,20110608
ANNA_ANDREADI,Consumer,APAC,United States,2011-01-26,2014-12-03,47,17312.2147,2443.0930000000003,368.34499361702126,14.11196107682283,2011-01,1,30.58695652173913,1,36,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,5,4,11,28,1435,Anna Andreadi,0,2011,20110126
ANNA_CHUNG,Consumer,EU,United States,2011-06-06,2014-12-29,25,8931.70908,-272.12731999999994,357.2683632,-3.0467553025137257,2011-06,1,54.25,1,21,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,5,1,1,7,2,1304,Anna Chung,1,2011,20110606
ANNA_GAYMAN,Consumer,EU,United States,2011-03-09,2014-11-14,31,15391.967,923.0617,496.515064516129,5.99703533667919,2011-03,1,44.86666666666667,2,21,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,2,3,6,47,1393,Anna Gayman,0,2011,20110309
ANNA_H_BERLIN,Corporate,US,United States,2011-02-11,2014-12-01,36,18094.05912,2466.0117199999995,502.6127533333334,13.628847477757104,2011-02,1,39.68571428571428,4,31,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,4,4,10,30,1419,Anna Häberlin,0,2011,20110211
ANNE_MCFARLAND,Consumer,APAC,United States,2011-05-03,2014-12-06,36,25522.3345,3238.5851,708.9537361111111,12.689219710681249,2011-05,1,37.51428571428571,1,30,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,4,5,11,25,1338,Anne McFarland,0,2011,20110503
ANNE_PRYOR,Home Office,US,United States,2011-03-03,2014-11-24,26,16361.7603,2992.7651,629.2984730769231,18.29121711311221,2011-03,1,54.48,1,20,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,1,3,5,37,1399,Anne Pryor,0,2011,20110303
ANNIE_THURMAN,Consumer,US,United States,2011-01-01,2014-12-29,34,13387.7549,2659.7779,393.7574970588235,19.867243760191634,2011-01,1,44.18181818181818,0,29,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,5,3,2,10,2,1460,Annie Thurman,0,2011,20110101
ANNIE_ZYPERN,Consumer,US,United States,2011-03-17,2014-12-05,28,11871.078,924.3603,423.9670714285714,7.786658465221103,2011-03,1,50.333333333333336,1,18,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,1,2,5,26,1385,Annie Zypern,0,2011,20110317
ANN_BLUME,Corporate,APAC,United States,2011-01-19,2014-12-24,27,18727.2131,1870.0107,693.6004851851852,9.98552582284654,2011-01,1,55.19230769230769,1,22,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,4,1,4,9,7,1442,Ann Blume,0,2011,20110119
ANN_CHONG,Corporate,APAC,India,2011-04-30,2014-12-25,36,15028.15648,880.1277799999998,417.4487911111112,5.856525257581026,2011-04,1,38.142857142857146,4,29,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,4,4,3,11,6,1341,Ann Chong,0,2011,20110430
ANN_STEELE,Home Office,Africa,United States,2011-02-04,2014-11-28,30,11815.9495,2091.0534,393.8649833333333,17.696871504063218,2011-02,1,48.03448275862069,0,19,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,2,2,6,33,1426,Ann Steele,0,2011,20110204
ANTHONY_GARVERICK,Home Office,LATAM,United States,2011-01-12,2014-12-03,35,11684.3115,175.30650000000014,333.8374714285714,1.5003579800144848,2011-01,1,41.794117647058826,2,27,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,4,2,8,28,1449,Anthony Garverick,0,2011,20110112
ANTHONY_JACOBS,Corporate,Africa,United States,2011-01-11,2014-12-30,37,17757.0612,1172.2401999999995,479.920572972973,6.601543953680802,2011-01,1,40.25,3,25,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.,5,4,4,13,1,1450,Anthony Jacobs,0,2011,20110111
ANTHONY_JOHNSON,Corporate,US,United States,2011-05-03,2014-11-25,32,12282.657,2478.5824,383.83303125,20.17952955944304,2011-05,1,42.0,3,22,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,3,2,7,36,1338,Anthony Johnson,0,2011,20110503
ANTHONY_O_DONNELL,Corporate,APAC,Australia,2011-08-30,2014-12-24,32,15022.8036,1093.0995999999998,469.4626125,7.276268991495035,2011-08,1,39.096774193548384,1,27,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,4,3,3,10,7,1219,Anthony O'Donnell,0,2011,20110830
ANTHONY_RAWLES,Corporate,EU,United States,2011-04-26,2014-12-09,45,17339.9476,3117.6468,385.3321688888889,17.97956298322378,2011-04,1,30.068181818181817,1,38,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,3,5,4,12,22,1345,Anthony Rawles,0,2011,20110426
ANTHONY_WITT,Consumer,LATAM,China,2011-02-05,2014-12-15,32,15147.25552,1216.4120199999995,473.351735,8.030577013729543,2011-02,1,45.45161290322581,4,25,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,3,3,3,9,16,1425,Anthony Witt,0,2011,20110205
ARIANNE_IRVING,Consumer,US,United States,2011-04-28,2014-12-18,26,9278.5763,1538.1774,356.86831923076926,16.577730788289145,2011-04,1,53.2,0,22,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,3,1,1,5,13,1343,Arianne Irving,0,2011,20110428
ARTHUR_GAINER,Consumer,US,United States,2011-01-30,2014-12-08,33,19873.64176,1733.2471599999997,602.2315684848485,8.721336436125835,2011-01,1,44.0,4,29,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,3,4,9,23,1431,Arthur Gainer,0,2011,20110130
ARTHUR_PRICHEP,Consumer,US,United States,2011-01-04,2014-10-16,37,18545.9403,3137.6156,501.2416297297297,16.91807236109781,2011-01,1,38.36111111111112,3,32,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,4,4,9,76,1457,Arthur Prichep,0,2011,20110104
ARTHUR_WIEDIGER,Home Office,US,United States,2011-01-04,2014-11-26,28,11013.01356,2680.96696,393.3219128571428,24.343627158850055,2011-01,1,52.66666666666666,2,22,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,1,1,4,35,1457,Arthur Wiediger,0,2011,20110104
ART_FERGUSON,Consumer,APAC,United States,2011-03-30,2014-12-26,45,28187.3405,2278.3037,626.3853444444445,8.082719616630735,2011-03,1,31.068181818181817,1,36,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.,5,5,5,15,5,1372,Art Ferguson,0,2011,20110330
ART_FOSTER,Consumer,EU,Italy,2011-03-28,2014-11-08,37,20066.15728,2971.23478,542.3285751351351,14.807193716962631,2011-03,1,36.69444444444444,1,35,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,4,5,10,53,1374,Art Foster,0,2011,20110328
ASHLEY_JARBOE,Consumer,APAC,United States,2011-03-03,2014-12-03,36,15947.948,3006.7032,442.9985555555556,18.8532292681165,2011-03,1,39.17142857142857,2,29,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,4,3,9,28,1399,Ashley Jarboe,0,2011,20110303
